business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
36687,Jay's Cheesesteak,3285 21st St,San Francisco,CA,94110,37.756893,-122.420849,"(37.756893, -122.420849)",,36687_20180924,09/24/2018 12:00:00 AM,83,Routine - Unscheduled,36687_20180924_103142,Unclean nonfood contact surfaces,Low Risk
59025,Sushi Umi,132 Bush St,San Francisco,CA,94104,37.791308,-122.400134,"(37.791308, -122.400134)",,59025_20181003,10/03/2018 12:00:00 AM,87,Routine - Unscheduled,59025_20181003_103138,Improper storage use or identification of toxic substances,Low Risk
64484,Twirl and Dip,335 Martin Luther King Jr Dr,San Francisco,CA,94118,37.777122,-122.419639,"(37.777122, -122.419639)",+14155540358,64484_20180614,06/14/2018 12:00:00 AM,94,Routine - Unscheduled,64484_20180614_103157,Food safety certificate or food handler card not available,Low Risk
101,Cable Car Corner,1099 Powell St,San Francisco,CA,94108,37.794615,-122.409705,"(37.794615, -122.409705)",,101_20180129,01/29/2018 12:00:00 AM,92,Routine - Unscheduled,101_20180129_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
64092,Moyo's Yogurt,1737 Post St #367,San Francisco,CA,94115,37.785457,-122.430317,"(37.785457, -122.430317)",,64092_20181211,12/11/2018 12:00:00 AM,96,Routine - Unscheduled,64092_20181211_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
3550,Noah's New York Bagels #2113,100 Bush St #102,San Francisco,CA,94104,37.791348,-122.399834,"(37.791348, -122.399834)",,3550_20181022,10/22/2018 12:00:00 AM,88,Routine - Unscheduled,3550_20181022_103154,Unclean or degraded floors walls or ceilings,Low Risk
65382,Manna,845 Irving St,San Francisco,CA,94122,37.763983,-122.46709,"(37.763983, -122.46709)",,65382_20180905,09/05/2018 12:00:00 AM,81,Routine - Unscheduled,65382_20180905_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
4907,JIM GEORGIE'S DONUT,2799 16th St,San Francisco,CA,94103,37.765262,-122.41523,"(37.765262, -122.41523)",+14155867112,4907_20180710,07/10/2018 12:00:00 AM,82,Routine - Unscheduled,4907_20180710_103103,High risk food holding temperature,High Risk
3217,MARNEE THAI RESTAURANT,1243 09th Ave,San Francisco,CA,94122,37.758941,-122.48591,"(37.758941, -122.48591)",,3217_20181029,10/29/2018 12:00:00 AM,79,Routine - Unscheduled,3217_20181029_103105,Improper cooling methods,High Risk
64231,Sweet Lime Inc.,2100 SUTTER St,San Francisco,CA,94115,37.785888,-122.435133,"(37.785888, -122.435133)",,64231_20180907,09/07/2018 12:00:00 AM,98,Routine - Unscheduled,64231_20180907_103144,Unapproved or unmaintained equipment or utensils,Low Risk
