business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation,risk_category
67564,ITHAI,720 Post St,San Francisco,CA,94109,37.787691,-122.413717,"(37.787691, -122.413717)",,67564_20161108,11/8/16 0:00,59,Routine - Unscheduled,67564_20161108_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
1843,Ma's Dim Sum & Cafe,1315 Powell St,San Francisco,CA,94133,37.796683,-122.410134,"(37.796683, -122.410134)",,1843_20181210,12/10/18 0:00,71,Routine - Unscheduled,1843_20181210_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
59422,Aveline / The European,490 Geary St,San Francisco,CA,94102,37.787008,-122.411304,"(37.787008, -122.411304)",,59422_20161122,11/22/16 0:00,87,Routine - Unscheduled,59422_20161122_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
65137,Martita Restaurant,5276 Mission St,San Francisco,CA,94112,37.714843,-122.44244,"(37.714843, -122.44244)",,65137_20170802,8/2/17 0:00,81,Routine - Unscheduled,65137_20170802_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
21407,Subway Sandwiches #34341,11 03rd St,San Francisco,CA,94103,37.787451,-122.403337,"(37.787451, -122.403337)",,21407_20171211,12/11/17 0:00,88,Routine - Unscheduled,21407_20171211_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
37389,China House Jumbo Seafood Restaurant,2237 Powell Street,San Francisco,CA,94133,37.805514,-122.411914,"(37.805514, -122.411914)",,37389_20180207,2/7/18 0:00,86,Routine - Unscheduled,37389_20180207_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
63210,Let's Be Frank,Justin Herman Plaza,San Francisco,CA,,37.777122,-122.419639,"(37.777122, -122.419639)",14155805049,63210_20170422,4/22/17 0:00,89,Routine - Unscheduled,63210_20170422_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
4874,JUMP START COFFEE & GROCERY,1192 GUERRERO St,San Francisco,CA,94110,37.752118,-122.422914,"(37.752118, -122.422914)",14155647555,4874_20180306,3/6/18 0:00,86,Routine - Unscheduled,4874_20180306_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
3571,CITY CLUB,"155 Sansome St, 10th Floor",San Francisco,CA,94104,37.791714,-122.400835,"(37.791714, -122.400835)",,3571_20171213,12/13/17 0:00,74,Routine - Unscheduled,3571_20171213_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
62179,Pampanguena Cuisine,4441 Mission St,San Francisco,CA,94112,37.727111,-122.432926,"(37.727111, -122.432926)",14155588899,62179_20170510,5/10/17 0:00,90,Routine - Unscheduled,62179_20170510_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
71696,B. Patisserie LLC,2821 CALIFORNIA St,San Francisco,CA,94115,37.788014,-122.440756,"(37.788014, -122.440756)",,71696_20161118,11/18/16 0:00,90,Routine - Unscheduled,71696_20161118_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
65442,Bluestem Brasserie,1 Yerba Buena Ln,San Francisco,CA,94103,37.785078,-122.403532,"(37.785078, -122.403532)",,65442_20180110,1/10/18 0:00,80,Routine - Unscheduled,65442_20180110_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
15120,Nordstrom Espresso Bar,865 Market Street,San Francisco,CA,94103,37.784317,-122.407563,"(37.784317, -122.407563)",,15120_20180314,3/14/18 0:00,94,Routine - Unscheduled,15120_20180314_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
65348,Wok And Go,2700 24th St,San Francisco,CA,94110,37.752988,-122.406682,"(37.752988, -122.406682)",,65348_20170627,6/27/17 0:00,70,Routine - Unscheduled,65348_20170627_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
2907,Bon Appetit @ USF-Market Cafe,2130 FULTON St,San Francisco,CA,94117,37.775117,-122.452065,"(37.775117, -122.452065)",,2907_20171204,12/4/17 0:00,83,Routine - Unscheduled,2907_20171204_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
59988,The Little Chihuahua,292 Divisadero St,San Francisco,CA,94117,37.771987,-122.437147,"(37.771987, -122.437147)",,59988_20180514,5/14/18 0:00,94,Routine - Unscheduled,59988_20180514_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
1843,Ma's Dim Sum & Cafe,1315 Powell St,San Francisco,CA,94133,37.796683,-122.410134,"(37.796683, -122.410134)",,1843_20171114,11/14/17 0:00,78,Routine - Unscheduled,1843_20171114_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
3019,Tad's,120 Powell St,San Francisco,CA,94102,37.785928,-122.407887,"(37.785928, -122.407887)",,3019_20170609,6/9/17 0:00,88,Routine - Unscheduled,3019_20170609_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
20327,"Subs, Inc.",1300 CASTRO St,San Francisco,CA,94114,37.751137,-122.434095,"(37.751137, -122.434095)",,20327_20171107,11/7/17 0:00,83,Routine - Unscheduled,20327_20171107_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
65086,Bun Mee,2015 FILLMORE St,San Francisco,CA,94115,37.788193,-122.433714,"(37.788193, -122.433714)",14155807696,65086_20170228,2/28/17 0:00,86,Routine - Unscheduled,65086_20170228_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
3420,MCDONALD'S #7413,345 BAYSHORE Blvd,San Francisco,CA,94124,37.742331,-122.405736,"(37.742331, -122.405736)",,3420_20160901,9/1/16 0:00,85,Routine - Unscheduled,3420_20160901_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
36024,R. Image Market,2898 Folsom St,San Francisco,CA,94110,37.750967,-122.414014,"(37.750967, -122.414014)",,36024_20161017,10/17/16 0:00,90,Routine - Unscheduled,36024_20161017_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
68295,Walgreens #4680,730 Market St,San Francisco,CA,94102,37.787096,-122.404274,"(37.787096, -122.404274)",,68295_20171218,12/18/17 0:00,94,Routine - Unscheduled,68295_20171218_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
66685,Tacolicious,741 Valencia St,San Francisco,CA,94110,37.760974,-122.421456,"(37.760974, -122.421456)",,66685_20171113,11/13/17 0:00,90,Routine - Unscheduled,66685_20171113_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
2369,CLOONEY'S,1401 Valencia St,San Francisco,CA,94110,37.750374,-122.420456,"(37.750374, -122.420456)",14155824988,2369_20180313,3/13/18 0:00,83,Routine - Unscheduled,2369_20180313_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
62560,Tasty Coffee,1818 San Jose Avenue,San Francisco,CA,94112,37.728688,-122.440358,"(37.728688, -122.440358)",,62560_20171116,11/16/17 0:00,88,Routine - Unscheduled,62560_20171116_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
2428,LA GALLINITA,2989 24th St,San Francisco,CA,94110,37.752634,-122.411658,"(37.752634, -122.411658)",,2428_20160915,9/15/16 0:00,84,Routine - Unscheduled,2428_20160915_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
3165,HAN IL KWAN,1802 BALBOA St,San Francisco,CA,94121,37.776599,-122.478292,"(37.776599, -122.478292)",14153598244,3165_20180507,5/7/18 0:00,77,Routine - Unscheduled,3165_20180507_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
32736,Maru Sushi,529 Powell St,San Francisco,CA,94102,37.789664,-122.408724,"(37.789664, -122.408724)",,32736_20161216,12/16/16 0:00,90,Routine - Unscheduled,32736_20161216_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
7856,Mee Mee Bakery,1328 Stockton St,San Francisco,CA,94133,37.797935,-122.408581,"(37.797935, -122.408581)",,7856_20161207,12/7/16 0:00,84,Routine - Unscheduled,7856_20161207_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
69759,Fish N Gari,1718 Polk St,San Francisco,CA,94109,37.792577,-122.421016,"(37.792577, -122.421016)",,69759_20170912,9/12/17 0:00,71,Routine - Unscheduled,69759_20170912_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
65111,Cafe Fiore,3599 24th St,San Francisco,CA,94110,37.751951,-122.422827,"(37.751951, -122.422827)",,65111_20180306,3/6/18 0:00,84,Routine - Unscheduled,65111_20180306_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
2051,Cocotte,1521 Hyde St,San Francisco,CA,94109,37.794753,-122.418184,"(37.794753, -122.418184)",,2051_20180216,2/16/18 0:00,83,Routine - Unscheduled,2051_20180216_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
63763,Wild Pepper,3601 26th St,San Francisco,CA,94110,37.748813,-122.421569,"(37.748813, -122.421569)",,63763_20180205,2/5/18 0:00,72,Routine - Unscheduled,63763_20180205_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
69244,Jamber,858 Folsom St,San Francisco,CA,94107,37.780975,-122.402612,"(37.780975, -122.402612)",,69244_20181207,12/7/18 0:00,88,Routine - Unscheduled,69244_20181207_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
69606,El Porteno I Restaurant,5173 MISSION St,San Francisco,CA,94112,37.715905,-122.441373,"(37.715905, -122.441373)",,69606_20170526,5/26/17 0:00,79,Routine - Unscheduled,69606_20170526_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
35862,Toast Eatery,3991 24th St,San Francisco,CA,94114,37.751423,-122.431618,"(37.751423, -122.431618)",,35862_20180125,1/25/18 0:00,78,Routine - Unscheduled,35862_20180125_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
61514,Foods Co #357,1800 FOLSOM St,San Francisco,CA,94103,37.767907,-122.415584,"(37.767907, -122.415584)",,61514_20180425,4/25/18 0:00,88,Routine - Unscheduled,61514_20180425_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
64161,House of Thai,901 LARKIN ST,San Francisco,CA,94109,37.786119,-122.418182,"(37.786119, -122.418182)",,64161_20180416,4/16/18 0:00,96,Routine - Unscheduled,64161_20180416_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
67063,7-Eleven #2366-34977,527 Sutter St,San Francisco,CA,94102,37.789118,-122.409048,"(37.789118, -122.409048)",,67063_20161026,10/26/16 0:00,90,Routine - Unscheduled,67063_20161026_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
63619,Subway Sandwiches,77 Van Ness Ave #100,San Francisco,CA,94102,37.776133,-122.419484,"(37.776133, -122.419484)",14155981866,63619_20180731,7/31/18 0:00,89,Routine - Unscheduled,63619_20180731_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
64525,Loving Hut Vegan Cuisine,524 Irving St,San Francisco,CA,94122,37.764188,-122.463592,"(37.764188, -122.463592)",,64525_20171010,10/10/17 0:00,76,Routine - Unscheduled,64525_20171010_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
16441,Hawaiian Drive Inn,2600 San Bruno Ave,San Francisco,CA,94134,37.728718,-122.404101,"(37.728718, -122.404101)",,16441_20161206,12/6/16 0:00,82,Routine - Unscheduled,16441_20161206_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
1584,ESPERPENTO RESTAURANT,3295 22nd St,San Francisco,CA,94110,37.755303,-122.420649,"(37.755303, -122.420649)",,1584_20160818,8/18/16 0:00,86,Routine - Unscheduled,1584_20160818_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
320,NAPOLI PIZZA RESTAURANT,1045 POLK St,San Francisco,CA,94109,37.786545,-122.419894,"(37.786545, -122.419894)",14155882222,320_20160920,9/20/16 0:00,68,Routine - Unscheduled,320_20160920_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
69259,Goat Hill Pizza,170 WEST PORTAL Ave,San Francisco,CA,94127,37.739154,-122.467794,"(37.739154, -122.467794)",14155641440,69259_20171130,11/30/17 0:00,96,Routine - Unscheduled,69259_20171130_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
13753,Taboun,203 Parnassus Ave,San Francisco,CA,,37.764574,-122.45295,"(37.764574, -122.45295)",,13753_20171205,12/5/17 0:00,88,Routine - Unscheduled,13753_20171205_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
488,The House,1230 Grant Ave,San Francisco,CA,94133,37.798519,-122.407071,"(37.798519, -122.407071)",,488_20180116,1/16/18 0:00,92,Routine - Unscheduled,488_20180116_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
2725,BOBOQUIVARI'S,1450 LOMBARD St,San Francisco,CA,94123,37.801218,-122.425535,"(37.801218, -122.425535)",14155448880,2725_20171102,11/2/17 0:00,94,Routine - Unscheduled,2725_20171102_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
68403,Empero Taste,4052 BALBOA St,San Francisco,CA,94121,37.77554,-122.502142,"(37.77554, -122.502142)",,68403_20180625,6/25/18 0:00,75,Routine - Unscheduled,68403_20180625_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
33442,Miller's East Coast Deli,1725 Polk St,San Francisco,CA,94109,37.792784,-122.421164,"(37.792784, -122.421164)",,33442_20180719,7/19/18 0:00,83,Routine - Unscheduled,33442_20180719_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
38929,Jelly Donut,3198 24th St,San Francisco,CA,94110,37.752439,-122.41625,"(37.752439, -122.41625)",,38929_20180319,3/19/18 0:00,82,Routine - Unscheduled,38929_20180319_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
36673,Mid City Market,868 Geary St,San Francisco,CA,94109,37.786197,-122.417614,"(37.786197, -122.417614)",,36673_20171113,11/13/17 0:00,90,Routine - Unscheduled,36673_20171113_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
68320,Newtree,16 Jessie St,San Francisco,CA,94105,37.789814,-122.398789,"(37.789814, -122.398789)",,68320_20170120,1/20/17 0:00,72,Routine - Unscheduled,68320_20170120_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
273,HAI SUN RESTAURANT,3137 LAGUNA St,San Francisco,CA,94123,37.800133,-122.431064,"(37.800133, -122.431064)",,273_20160920,9/20/16 0:00,78,Routine - Unscheduled,273_20160920_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
65283,Subway,147 Mason St,San Francisco,CA,94102,37.784884,-122.409425,"(37.784884, -122.409425)",,65283_20180302,3/2/18 0:00,90,Routine - Unscheduled,65283_20180302_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
7738,EL CHICO PRODUCE MARKET #4,2965 24th St,San Francisco,CA,94110,37.752663,-122.411179,"(37.752663, -122.411179)",,7738_20160915,9/15/16 0:00,80,Routine - Unscheduled,7738_20160915_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
1922,All stars Donuts,901 Clement St,San Francisco,CA,94118,37.782694,-122.468969,"(37.782694, -122.468969)",,1922_20171024,10/24/17 0:00,76,Routine - Unscheduled,1922_20171024_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
6729,Gold Coin Trading Co,874 Pacific Ave,San Francisco,CA,94133,37.796588,-122.409684,"(37.796588, -122.409684)",,6729_20171117,11/17/17 0:00,82,Routine - Unscheduled,6729_20171117_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
68753,La Briciola  Restaurant,489 03rd St,San Francisco,CA,94107,37.781451,-122.395927,"(37.781451, -122.395927)",,68753_20171012,10/12/17 0:00,74,Routine - Unscheduled,68753_20171012_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
24279,Park Gyros,1201 09th Ave,San Francisco,CA,94122,37.758941,-122.48591,"(37.758941, -122.48591)",,24279_20180214,2/14/18 0:00,90,Routine - Unscheduled,24279_20180214_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
1950,BULLSHEAD RESTAURANT,840 ULLOA St,San Francisco,CA,94127,37.740785,-122.465507,"(37.740785, -122.465507)",14155664350,1950_20180924,9/24/18 0:00,92,Routine - Unscheduled,1950_20180924_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5803,SUNNYSIDE ELEMENTARY SCHOOL,250 FOERSTER St,San Francisco,CA,94112,37.730307,-122.448801,"(37.730307, -122.448801)",,5803_20171010,10/10/17 0:00,94,Routine - Unscheduled,5803_20171010_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
32702,Cafe La Vie,514 Octavia St,San Francisco,CA,94102,37.776924,-122.424666,"(37.776924, -122.424666)",,32702_20160921,9/21/16 0:00,81,Routine - Unscheduled,32702_20160921_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
16286,Starbucks Coffee (Store #9743),425 Battery St,San Francisco,CA,94111,37.795366,-122.400435,"(37.795366, -122.400435)",,16286_20161118,11/18/16 0:00,88,Routine - Unscheduled,16286_20161118_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
502,COURTYARD BY MARRIOTT-COFFEE SHOP,299 02nd St,San Francisco,CA,94105,37.785614,-122.396693,"(37.785614, -122.396693)",,502_20171129,11/29/17 0:00,94,Routine - Unscheduled,502_20171129_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
62597,J J Fish & Chicken,5100 03rd St,San Francisco,CA,94124,37.732443,-122.391682,"(37.732443, -122.391682)",,62597_20171213,12/13/17 0:00,86,Routine - Unscheduled,62597_20171213_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
36608,Taqueria Angelica's,1301 Cesar Chavez St,San Francisco,CA,,37.748543,-122.390883,"(37.748543, -122.390883)",14150833695,36608_20180507,5/7/18 0:00,90,Routine - Unscheduled,36608_20180507_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
